frame,tempo_segundos,angulo_cotovelo_esquerdo,angulo_cotovelo_direito
0,0.0,65.4079554825444,89.38069985938895
1,0.03333333333333333,66.0821051853147,88.38934311925547
2,0.06666666666666667,66.46832554262622,88.1306315955329
3,0.1,66.85474010666402,88.40903310073759
4,0.13333333333333333,67.11663467276412,88.51225895260207
5,0.16666666666666666,67.9330007463638,88.48262477415348
6,0.2,68.65190503683837,88.41660863852412
7,0.23333333333333334,68.99799796791534,88.89306130426826
8,0.26666666666666666,69.31211777947249,88.89242754988167
9,0.3,70.32898086316312,89.08180190634731
10,0.3333333333333333,70.93895293409105,89.88912525045757
11,0.36666666666666664,71.68705412858345,90.45396334141108
12,0.4,72.24500688805901,90.5163943442395
13,0.43333333333333335,73.18233065903182,91.35034818232613
14,0.4666666666666667,74.31838837253432,92.11148078715117
15,0.5,75.2377223923321,93.20261771111015
16,0.5333333333333333,75.78885996567072,94.11416009774312
17,0.5666666666666667,76.39069316637679,94.91332444198683
18,0.6,77.6769778618798,96.10467270583652
19,0.6333333333333333,78.22392698024176,96.37921592182389
20,0.6666666666666666,79.358473920632,97.48128809784119
21,0.7,80.67644728995401,97.34420460183024
22,0.7333333333333333,82.53441748927317,97.65590365060854
23,0.7666666666666667,82.89507980954016,97.80036182683273
24,0.8,83.81935929961821,97.95624627381564
25,0.8333333333333334,85.63523231487528,97.94269394106786
26,0.8666666666666667,86.94267715751062,98.55205573289956
27,0.9,88.39799048555584,98.41711786562855
28,0.9333333333333333,89.2779095666282,98.65691347631916
29,0.9666666666666667,90.083360613025,99.67018917458117
30,1.0,90.76503909424423,101.91589037493547
31,1.0333333333333334,91.66512348909087,102.25736275882718
32,1.0666666666666667,92.5674380964436,103.02029691231812
33,1.1,93.1054638971395,104.042716539626
34,1.1333333333333333,94.17745723476436,105.0759138355841
35,1.1666666666666667,94.84852602028283,104.1464254660721
36,1.2,96.04918811470408,104.50035205153831
37,1.2333333333333334,97.6541066431639,106.17071556194351
38,1.2666666666666666,99.78566661817396,108.41040650124266
39,1.3,101.11446212149495,110.45161222510347
40,1.3333333333333333,102.0216906729702,112.48882242109433
41,1.3666666666666667,102.11619131067756,112.5334985805542
42,1.4,102.45559843105522,113.3079820449216
43,1.4333333333333333,102.6934923689313,113.55958100691525
44,1.4666666666666666,102.41087640672528,114.2715673523117
45,1.5,102.44833103375015,114.25625599419908
46,1.5333333333333334,104.04201352637857,113.39641729961966
47,1.5666666666666667,103.35434152732606,113.28399680021133
48,1.6,104.04260329142342,113.8306968335843
49,1.6333333333333333,105.1630668473517,117.338451617693
50,1.6666666666666667,106.17105091329813,118.25556766144703
51,1.7,107.73478536067789,119.2925537968989
52,1.7333333333333334,107.64688460397018,120.3732042056557
53,1.7666666666666666,108.32922480825583,120.65034567933868
54,1.8,109.58901286287946,120.7174434751758
55,1.8333333333333333,110.80638866922557,121.05536145593868
56,1.8666666666666667,110.69236793740583,122.51548688469055
57,1.9,110.809561527729,123.57521617272477
58,1.9333333333333333,113.19590780997709,125.4952794607126
59,1.9666666666666666,114.4745827676504,127.04177302966058
60,2.0,114.47007774987812,127.79504655211473
61,2.033333333333333,114.13817203071854,126.16919840502092
62,2.066666666666667,114.89760839176842,127.36151669736176
63,2.1,115.20204113769269,128.33821767221824
64,2.1333333333333333,116.34025056984943,127.26167175089768
65,2.1666666666666665,115.9961623822599,128.27555259973337
66,2.2,116.67947003942194,127.93485421764765
67,2.2333333333333334,116.36069766166943,127.2494625691317
68,2.2666666666666666,116.8515385047574,126.92971370767464
69,2.3,117.0830984854041,127.8731903429852
70,2.3333333333333335,116.75094413278752,129.02785243054169
71,2.3666666666666667,117.30186443454598,127.87710111549676
72,2.4,118.11876555583481,126.92559673414361
73,2.433333333333333,118.3494495327308,126.918955080414
74,2.466666666666667,118.5776826451863,127.72785328219095
75,2.5,118.79970219040027,128.023689198992
76,2.533333333333333,118.8690937578801,128.3460010304574
77,2.566666666666667,118.87207190908447,127.99831443660683
78,2.6,119.6646626856759,128.0977139370672
79,2.6333333333333333,119.85019596892016,128.60661237646016
80,2.6666666666666665,119.89480878974346,128.63138069888998
81,2.7,119.72025648824346,129.19331030320754
82,2.7333333333333334,119.26964305971842,129.41601909971726
83,2.7666666666666666,118.9019982606496,129.6866617550263
84,2.8,118.46018713260624,129.64839314296214
85,2.8333333333333335,118.64616067577997,129.2402288015702
86,2.8666666666666667,117.58915131355256,130.33375787417017
87,2.9,117.64303270210888,129.0216763187116
88,2.933333333333333,116.49770980124967,126.88221415932279
89,2.966666666666667,115.5788876657513,128.0574599788295
90,3.0,114.98365611808687,126.01781722917868
