frame,tempo_segundos,angulo_cotovelo_esquerdo_filtrado,angulo_cotovelo_direito_filtrado
0,0.0,65.40306672444878,89.36865306279729
1,0.03333333333333333,65.89985361707642,88.95863281624781
2,0.06666666666666667,66.39385293500503,88.61575467886529
3,0.1,66.88574379723775,88.38792667934392
4,0.13333333333333333,67.37998835543797,88.29509189651074
5,0.16666666666666666,67.88427300505803,88.33058580130655
6,0.2,68.40859130610204,88.47130622687571
7,0.23333333333333334,68.96430950581572,88.69073024866704
8,0.26666666666666666,69.5626782372057,88.96965474999774
9,0.3,70.212409744951,89.30211000347877
10,0.3333333333333333,70.91693859604716,89.69613766473097
11,0.36666666666666664,71.67255943061531,90.17017427225998
12,0.4,72.46842704494091,90.74589734723216
13,0.43333333333333335,73.28900803573285,91.43869708594688
14,0.4666666666666667,74.11901024937492,92.24807903156767
15,0.5,74.94956475422984,93.1512622586154
16,0.5333333333333333,75.78299286432197,94.10262157676428
17,0.5666666666666667,76.63346059962164,95.03963311652372
18,0.6,77.52285750088382,95.89398599436606
19,0.6333333333333333,78.47385667756734,96.60534116066566
20,0.6666666666666666,79.50330917692479,97.1347571663705
21,0.7,80.61830883073753,97.47482369574715
22,0.7333333333333333,81.81515132954632,97.65407400803733
23,0.7666666666666667,83.0793938865002,97.73429164152168
24,0.8,84.3851720943962,97.80055845454713
25,0.8333333333333334,85.69447513164339,97.94497006059562
26,0.8666666666666667,86.95969520286843,98.24609564446077
27,0.9,88.1320691610059,98.74804645566218
28,0.9333333333333333,89.17477526933496,99.44537188409222
29,0.9666666666666667,90.07598767994776,100.28139856561741
30,1.0,90.85677377721564,101.16532129106659
31,1.0333333333333334,91.57078592614609,102.00592647756572
32,1.0666666666666667,92.29511733403662,102.75039407183286
33,1.1,93.11333361820932,103.41141919311133
34,1.1333333333333333,94.09317228085031,104.06857674159271
35,1.1666666666666667,95.26364488457122,104.83929783695133
36,1.2,96.5987596848142,105.82787043444256
37,1.2333333333333334,98.01569769793187,107.07295447038078
38,1.2666666666666666,99.39187311298289,108.51818745953865
39,1.3,100.59791516048521,110.02150742843203
40,1.3333333333333333,101.53568899322791,111.40053224778875
41,1.3666666666666667,102.16715738779222,112.49475589237262
42,1.4,102.52370506481849,113.21975439581186
43,1.4333333333333333,102.69405907420244,113.59482979537701
44,1.4666666666666666,102.79706036748347,113.73714721650104
45,1.5,102.94970070861613,113.82568052025714
46,1.5333333333333334,103.24039912251406,114.0454790352378
47,1.5666666666666667,103.71370481051751,114.5287606161564
48,1.6,104.3679270746292,115.31353527250947
49,1.6333333333333333,105.16407360348724,116.33770117498688
50,1.6666666666666667,106.04299238541851,117.4730156126094
51,1.7,106.94589493525321,118.58405959462326
52,1.7333333333333334,107.83155114568396,119.58448360994733
53,1.7666666666666666,108.68406580725686,120.46500271567548
54,1.8,109.50936718975517,121.28268646067038
55,1.8333333333333333,110.32353770442445,122.11998404554487
56,1.8666666666666667,111.13863581992614,123.03544527591356
57,1.9,111.9518074489327,124.03035422550144
58,1.9333333333333333,112.74259459370292,125.04580020292319
59,1.9666666666666666,113.48027853210664,125.98841459922183
60,2.0,114.1371347633527,126.76896222533887
61,2.033333333333333,114.69902753355997,127.33382484599845
62,2.066666666666667,115.1671891911149,127.6769203753992
63,2.1,115.55252663567882,127.832492187964
64,2.1333333333333333,115.86886635505816,127.8577295012271
65,2.1666666666666665,116.13011309610363,127.81427446304052
66,2.2,116.35136296425222,127.75342458208665
67,2.2333333333333334,116.55070800349652,127.70672375664209
68,2.2666666666666666,116.7487098137196,127.68313508326476
69,2.3,116.96481599427788,127.67410181538628
70,2.3333333333333335,117.21226839340389,127.66554505901054
71,2.3666666666666667,117.49428576254365,127.65104081205497
72,2.4,117.80400854636368,127.63796150854833
