frame,tempo_segundos,angulo_joelho_direito
0,0.0,146.2558323107541
1,0.03333333333333333,143.01265310099794
2,0.06666666666666667,139.70083091384262
3,0.1,134.2520566527032
4,0.13333333333333333,130.134159336012
5,0.16666666666666666,124.1966642882729
6,0.2,118.40816114053547
7,0.23333333333333334,111.86433538358831
8,0.26666666666666666,107.88596843624049
9,0.3,104.2205112853731
10,0.3333333333333333,98.26588824123482
11,0.36666666666666664,95.84694209339375
12,0.4,91.76948215239997
13,0.43333333333333335,87.80425154306393
14,0.4666666666666667,85.40389306275453
15,0.5,83.66350658924605
16,0.5333333333333333,81.4495550371917
17,0.5666666666666667,80.7821881257744
18,0.6,80.24208140986322
19,0.6333333333333333,79.98381978112383
20,0.6666666666666666,78.6839248715957
21,0.7,77.29042849347802
22,0.7333333333333333,76.39961118732849
23,0.7666666666666667,76.6105304158409
24,0.8,76.29980790402563
25,0.8333333333333334,76.47717821439356
26,0.8666666666666667,76.68930567010023
27,0.9,77.22866739346492
28,0.9333333333333333,77.29019442197128
29,0.9666666666666667,77.88941297288783
30,1.0,78.49845890801973
31,1.0333333333333334,79.77776481692933
32,1.0666666666666667,80.75166512729463
33,1.1,81.7813267597182
34,1.1333333333333333,82.6455055624483
35,1.1666666666666667,84.00848869237471
36,1.2,85.75902225815419
37,1.2333333333333334,87.21544047118188
38,1.2666666666666666,88.67732678898557
39,1.3,91.71781731819895
40,1.3333333333333333,93.49646062420776
41,1.3666666666666667,95.78833324728275
42,1.4,98.32658628992013
43,1.4333333333333333,101.73636789019224
44,1.4666666666666666,104.61483903466805
45,1.5,107.07654914692121
46,1.5333333333333334,109.85801299277789
47,1.5666666666666667,112.8275768456175
48,1.6,117.55383914861115
49,1.6333333333333333,122.77268319691196
50,1.6666666666666667,127.4271065312182
51,1.7,131.96931554020264
52,1.7333333333333334,136.42040757872928
53,1.7666666666666666,141.8129944518585
54,1.8,146.75797873771333
55,1.8333333333333333,151.23088623824657
56,1.8666666666666667,153.61508824816707
57,1.9,155.9182358736693
